Title,Material,Color,Price,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,Images
3044,Genuine Hornback/Calf,Avana,$735 ,X,,,,,,,,,X,,3044 Avana.JPG
3044,Genuine Hornback/Calf,Black,$735 ,X,,X,,X,,X,,,,,3044 Black.JPG
3044,Genuine Hornback/Calf,Red,$735 ,,,,,,,,,,,,3044 Red.JPG
Albert,Genuine Eel,Cognac,$375 ,X,X,X,X,X,X,X,X,X,X,X,ALBERT Cognac.jpg
Albert,Genuine Eel,Taupe,$375 ,X,X,X,X,X,X,X,X,X,X,X,ALBERT Taupe.jpg
Alex,Rugged Calf/Genuine Alligator,Black,$365 ,,,,,,,X,,X,,X,ALEX Black.JPG
Alex,Rugged Calf/Genuine Alligator,Chocolate,$365 ,,X,,,,,,,X,X,X,ALEX Chocolate.JPG
Alex,Rugged Calf/Genuine Alligator,Blue,$365 ,,,,,,,,,,,,ALEX Blue.jpg
Alex,Rugged Calf/Genuine Alligator,Bordo,$365 ,,,,,,,,,,,,ALEX Bordo.jpg
Alex,Rugged Calf/Genuine Alligator,Green,$365 ,,,,,,,,,,,,ALEX Green.jpg
Alex,Rugged Calf/Genuine Alligator,Red,$365 ,X,,X,,X,,X,,X,X,X,ALEX Red.jpg
Alex,Rugged Calf/Genuine Alligator,Rust,$365 ,,,,,,,,,,,,ALEX Rust.jpg
Alex,Rugged Calf/Genuine Alligator,White,$365 ,X,,X,,X,,X,,X,X,X,ALEX White-Black.jpg
Arthur,Calf/Genuine Alligator,Black/Bone,$350 ,X,,X,,X,,X,,X,X,,ARTHUR Chocolate-Bone.JPG
Arthur,Calf/Genuine Alligator,Chocolate/Bone,$350 ,X,,,,,,X,,X,,,ARTHUR Chocolate-Bone.JPG
Arthur,Calf/Genuine Alligator,Grey/Black,$350 ,,,,,,,,,,,,ARTHUR Grey-Black.JPG
Arthur,Calf/Genuine Alligator,Navy/Red,$350 ,X,,X,,X,,,,,,,ARTHUR Navy-Red.JPG
Charlie,Genuine Eel,Dark Brown/Bone,$380 ,X,X,X,X,,,X,X,X,X,X,CHARLIE Brown Bone.JPG
Charlie,Genuine Eel,Dark Grey/Light Grey,$380 ,X,X,X,,,,X,,,,X,CHARLIE Dark Grey Light Grey.JPG
Edward,Calf/Genuine Alligator,Antique Red,$385 ,X,,X,,X,,X,X,X,X,X,EDWARD Antique Red.jpg
Edward,Calf/Genuine Alligator,Blue,$385 ,X,,X,,X,,X,X,X,X,X,EDWARD Blue.jpg
Edward,Calf/Genuine Alligator,Yellow,$385 ,X,,X,,X,,X,X,X,X,X,EDWARD Yellow.jpg
Elliot,Calf/Genuine Alligator,Taupe/Chocolate,$495 ,X,,X,,,,X,X,X,X,X,ELLIOT Taupe-Chocolate.jpg
Ethan,Calf/Genuine Alligator,Black,$495 ,X,,X,,X,,X,,X,X,,ETHAN Black.jpg
Ethan,Calf/Genuine Alligator,Cognac,$495 ,X,X,X,X,X,,X,,X,X,X,ETHAN Cognac.jpg
Ethan,Calf/Genuine Alligator,Purple,$495 ,X,X,,X,X,X,X,,X,X,,ETHAN Purple.jpg
Finley,Calf/Genuine Alligator,Black,$495 ,X,X,X,X,X,X,X,X,X,X,X,FINLEY BLACK.JPG
Finley,Calf/Genuine Alligator,Blue,$495 ,X,X,X,X,X,X,X,X,X,X,X,FINLEY Blue.jpg
Finley,Calf/Genuine Alligator,Burgundy,$495 ,X,X,X,X,X,X,X,X,X,X,X,FINLEY Bordo.JPG
Finley,Calf/Genuine Alligator,Cognac,$495 ,,,,,,,,,,,,FINLEY Cognac.jpg
Finley,Calf/Genuine Alligator,Pink,$495 ,X,X,X,X,X,X,X,X,X,X,X,FINLEY Rose.jpg
Finley,Calf/Genuine Alligator,White,$495 ,X,X,X,,X,X,,,X,X,X,FINLEY White.jpg
George,Velvet/Genuine Alligator,Black,$375 ,X,,X,,,,X,,,,,GEORGE Black.JPG
George,Velvet/Genuine Alligator,Burgundy,$375 ,X,,X,,X,,X,,X,,,GEORGE Burgundy.JPG
Harry,Suede/Genuine Ostrich Leg,Black,$355 ,X,X,X,,X,X,X,X,X,X,,HARRY Black.JPG
Harry,Suede/Genuine Ostrich Leg,Burgundy,$355 ,X,X,X,X,X,X,X,X,X,X,,HARRY Burgundy.JPG
Hugo,Genuine Crocodile Hornback,Black,$915 ,X,,X,,,,X,,,X,,HUGO Black.JPG
Hugo,Genuine Crocodile Hornback,Cognac,$915 ,,,,,,,,,,,,HUGO Cognac.JPG
Jack,Calf/Genuine Hornback,Blue,$360 ,X,,X,,,,X,,X,,,JACK Blue.JPG
Jack,Calf/Genuine Hornback,Chocolate,$360 ,,,,,,,,,,,,JACK Chocolate.JPG
Jack,Calf/Genuine Hornback,Red,$360 ,X,,X,,,,X,,,,,JACK Red.JPG
Jacob,Genuine Lizard/Alligator,Black,$395 ,,X,X,X,X,X,X,,X,X,,JACOB Black.jpg
Jacob,Genuine Lizard/Alligator,Navy,$395 ,X,,X,,X,X,X,X,X,X,,JACOB Navy.jpg
Jake,Calf/Genuine Alligator,Black,$369 ,,,,,,,,,,,,JAKE Black.JPG
Jake,Calf/Genuine Alligator,Chocolate,$369 ,,,,,,,,,,,,JAKE Chocolate.JPG
Jake,Calf/Genuine Alligator,Navy,$369 ,,,,,,,,,,,,JAKE Navy.JPG
James,Calf/Genuine Alligator,Black,$495 ,X,,X,,X,,,X,X,X,,JAMES Black.jpg
James,Calf/Genuine Alligator,Brown,$495 ,X,,,,X,,,,,X,,JAMES Brown.jpg
James,Calf/Genuine Alligator,Cognac,$495 ,,,,X,X,X,X,X,X,X,,JAMES Cognac.JPG
James,Calf/Genuine Alligator,Light Blue,$495 ,,,X,,,,,,X,,,JAMES L. Blue.JPG
James,Calf/Genuine Alligator,Pink,$495 ,X,,X,,X,,,,X,X,,JAMES Pink.JPG
Logan,Genuine Alligator,Black,$875 ,,,,,,,,,,,,LOGAN Black.jpg
Lucas,Calf/Genuine Alligator,Black Combo,$495 ,X,X,X,X,X,X,X,X,,X,X,LUCAS Black Combo.jpg
Lucas,Calf/Genuine Alligator,Blue Combo,$495 ,X,X,X,X,X,X,X,X,X,X,X,LUCAS Blue Combo.jpg
Lucas,Calf/Genuine Alligator,Brown Combo,$495 ,,X,X,X,X,X,,X,X,X,X,LUCAS Brown Combo.jpg
Miles,Genuine Alligator,Black,$995 ,X,,X,,X,,X,,,,,MILES Black.JPG
Miles,Genuine Alligator,Burgundy,$995 ,,,X,X,,X,,,,,,MILES Burgundy.JPG
Oliver,Genuine Alligator,Black,$875 ,X,X,,X,X,X,X,,,,,OLIVER Black.JPG
Oscar,Genuine Eel,Black/Off White,$389 ,,,,X,,,X,,,X,,OSCAR Black White.JPG
Oscar,Genuine Eel,Brandy/Cognac,$389 ,,X,,X,,,,X,,,X,OSCAR Brandy Cognac.jpg
Sam,Calf/Genuine Alligator,Red/Navy/White Combo,$349 ,,,,,,,,,,,,SAM Red-Navy.jpg
Sam,Calf/Genuine Alligator,Red/Green/White Combo,$349 ,,,,,,,,,,,,SAM Red-Green.jpg
Samuel,Calf/Genuine Alligator,Red/Green/White Combo,$349 ,,,,,,,,,,,,SAMUEL Red-Green-White.jpg
Toby,Calf/Genuine Alligator,Red/Green/White Combo,$415 ,,,,,,,,,,,,TOBY Red-Green-White.jpg
Trevor,Calf/Genuine Alligator,Black,$495 ,X,,X,,X,X,X,X,X,X,X,TREVOR Black.jpg
Trevor,Calf/Genuine Alligator,Taupe/Chocolate,$495 ,X,X,X,,X,,X,X,,X,X,TREVOR Taupe-Chocolate.jpg
Tyler,Calf/Genuine Alligator,Antique Red,$369 ,X,,X,X,X,,,,X,X,,TYLER Antique Red.JPG
Tyler,Calf/Genuine Alligator,Black,$369 ,X,,X,,,,X,,X,X,,TYLER Black.jpg
Tyler,Calf/Genuine Alligator,Cognac,$369 ,X,,X,,X,,,,X,,,TYLER Cognac.jpg
Tyler,Calf/Genuine Alligator,Navy,$369 ,X,X,X,X,,,,,X,,X,TYLER Navy.JPG
Tyler,Calf/Genuine Alligator,Olive,$369 ,X,X,X,X,X,X,,X,X,,X,TYLER Olive.JPG
Tyler,Calf/Genuine Alligator,Pink,$369 ,X,X,X,X,X,,X,,,X,X,TYLER Pink.jpg
Zach,Patent/Genuine Patent Hornback,Black,$349 ,,,,,,,,,,,,ZACH Black.jpg
Zach,Patent/Genuine Patent Hornback,Pink,$349 ,,,,,,,,,,,,ZACH Pink.jpg
Zach,Patent/Genuine Patent Hornback,Navy,$349 ,,,,,,,,,,,,ZACH Blue.jpg
